"","Player","Position","MIN","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","GameId"
"1","G. Meads","F",22,1,6,0,0,0,0,3,6,9,1,2,1,4,3,2,1
"2","M. Hall","G-F",25,4,15,2,8,0,2,1,3,4,0,1,1,4,4,10,1
"3","J. Jensen","F-C",26,3,4,0,0,2,3,0,3,3,1,1,0,1,4,8,1
"4","M. Rose","G",15,2,7,1,5,0,0,0,1,1,0,0,0,1,0,5,1
"5","T. Nashif","G",23,1,3,1,3,0,0,0,1,1,4,1,0,8,1,3,1
"7","K. Young","F",23,3,8,0,2,3,5,5,5,10,0,0,1,0,1,9,1
"8","T. Plaisted","F-C",18,0,2,0,0,2,2,1,2,3,1,0,0,1,0,2,1
"9","C. Miles","F-C",7,0,1,0,0,0,0,3,2,5,0,0,1,1,1,0,1
"10","D. Burgess","C",5,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"11","D. Dawes","C",3,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1
"12","S. Burgess","G",15,2,7,0,2,0,0,0,1,1,0,0,0,2,4,4,1
"13","A. Ainge","G",18,2,3,2,3,0,0,0,1,1,1,1,0,4,1,6,1
"14","K. Young","F",12,2,4,0,0,2,3,1,3,4,0,0,0,1,0,6,2
"21","G. Meads","F",22,3,7,0,0,3,3,2,3,5,0,0,1,3,4,9,2
"31","M. Hall","G-F",33,2,8,1,3,2,2,2,4,6,2,1,0,1,3,7,2
"41","T. Plaisted","F-C",18,0,0,0,0,1,4,1,3,4,0,0,0,1,1,1,2
"51","J. Jensen","F-C",24,4,7,0,0,3,5,1,1,2,0,1,0,2,2,11,2
"71","D. Burgess","C",8,0,3,0,2,0,0,0,1,1,1,0,0,0,1,0,2
"81","D. Dawes","C",16,2,4,0,0,0,0,3,7,10,0,0,0,1,4,4,2
"91","S. Burgess","G",8,0,3,0,2,0,0,0,1,1,1,0,0,0,1,0,2
"101","M. Rose","G",25,2,5,2,5,2,4,0,2,2,0,0,0,3,0,8,2
"111","A. Ainge","G",12,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,2
"121","T. Nashif","G",30,2,9,1,5,2,2,0,1,1,1,1,0,3,4,7,2
"15","K. Young","F",33,7,12,0,0,0,0,3,3,6,0,2,0,0,2,14,3
